Filename,Axis 0,Axis 1,Axis 2,Infomative voxel,Total voxel,Ratio
62-26639 L_masked_squeezed.nii.gz,224,224,224,1676901,11239424,0.14919812616731962
62-26639 R_masked_squeezed_flipped.nii.gz,224,224,224,1501080,11239424,0.13355488679846939
62-27556 L_masked_squeezed.nii.gz,224,224,224,2321313,11239424,0.2065330927990616
62-27556 R_masked_squeezed_flipped.nii.gz,224,224,224,2144781,11239424,0.19082659396068696
62-30049 L_masked_squeezed.nii.gz,224,224,224,1956051,11239424,0.17403480818945882
62-30049 R_masked_squeezed_flipped.nii.gz,224,224,224,1724252,11239424,0.15341106448159622
62-330 L_masked_squeezed.nii.gz,224,224,224,1898973,11239424,0.1689564340663721
62-34626 R_masked_squeezed_flipped.nii.gz,224,224,224,1440125,11239424,0.12813156617278607
62-435 L_masked_squeezed.nii.gz,224,224,224,1962905,11239424,0.17464462591677296
62-435 R_masked_squeezed_flipped.nii.gz,224,224,224,1758534,11239424,0.15646122078853864
62-700605 R_masked_squeezed_flipped.nii.gz,224,224,224,1382839,11239424,0.1230346857632562
62-700851 L_masked_squeezed.nii.gz,224,224,224,1912478,11239424,0.1701580080972121
62-700851 R_masked_squeezed_flipped.nii.gz,224,224,224,1582508,11239424,0.1407997420508382
62-701148 L_masked_squeezed.nii.gz,224,224,224,1227042,11239424,0.10917303235468294
62-701148 R_masked_squeezed_flipped.nii.gz,224,224,224,1324601,11239424,0.11785310350423651
62-701248 R_masked_squeezed_flipped.nii.gz,224,224,224,1971116,11239424,0.17537517936862246
62-701261 L_masked_squeezed.nii.gz,224,224,224,1965455,11239424,0.17487150587076347
62-701261 R_masked_squeezed_flipped.nii.gz,224,224,224,2037195,11239424,0.18125439524303025
62-7533 L 2021_masked_squeezed.nii.gz,224,224,224,1299855,11239424,0.11565138925268768
62-7533 R 2020_masked_squeezed_flipped.nii.gz,224,224,224,1370013,11239424,0.12189352408094935
62-7533 R 2021_masked_squeezed_flipped.nii.gz,224,224,224,1339187,11239424,0.11915085684106232
62-8585 L_masked_squeezed.nii.gz,224,224,224,1468005,11239424,0.1306121203364158
62-8585 R_masked_squeezed_flipped.nii.gz,224,224,224,1433011,11239424,0.127498615587418
63-12252 L_masked_squeezed.nii.gz,224,224,224,1999002,11239424,0.17785626736743804
63-12252 R_masked_squeezed_flipped.nii.gz,224,224,224,1848086,11239424,0.16442888888256196
63-1330 L_masked_squeezed.nii.gz,224,224,224,1237822,11239424,0.11013215623861151
63-1330 R_masked_squeezed_flipped.nii.gz,224,224,224,1163076,11239424,0.10348181543822886
63-15359 L_masked_squeezed.nii.gz,224,224,224,1869806,11239424,0.16636137225537537
63-15359 R_masked_squeezed_flipped.nii.gz,224,224,224,1685549,11239424,0.1499675606152059
63-17862 L_masked_squeezed.nii.gz,224,224,224,1472118,11239424,0.1309780643563229
63-17862 R_masked_squeezed_flipped.nii.gz,224,224,224,1502211,11239424,0.133655514731004
63-17877 L_masked_squeezed.nii.gz,224,224,224,1810178,11239424,0.1610561181782981
63-17877 R_masked_squeezed_flipped.nii.gz,224,224,224,2005198,11239424,0.17840754116936952
63-17957 L_masked_squeezed.nii.gz,224,224,224,1593856,11239424,0.14180940233236153
63-17957 R_masked_squeezed_flipped.nii.gz,224,224,224,1481668,11239424,0.13182775202715014
63-20205 L_masked_squeezed.nii.gz,224,224,224,1703242,11239424,0.15154175160577624
63-20205 R_masked_squeezed_flipped.nii.gz,224,224,224,1615762,11239424,0.1437584345959366
63-2829 L_masked_squeezed.nii.gz,224,224,224,2004871,11239424,0.17837844715174017
63-700223 L_masked_squeezed.nii.gz,224,224,224,1643594,11239424,0.14623471807807945
63-700223 R_masked_squeezed_flipped.nii.gz,224,224,224,1616145,11239424,0.14379251107530067
63-700385 L_masked_squeezed.nii.gz,224,224,224,1465107,11239424,0.13035427794164542
63-700385 R_masked_squeezed_flipped.nii.gz,224,224,224,1615463,11239424,0.14373183180917457
63-700449 L_masked_squeezed.nii.gz,224,224,224,1584811,11239424,0.14100464578967747
63-700449 R_masked_squeezed_flipped.nii.gz,224,224,224,1826580,11239424,0.16251544563137754
63-7894 L_masked_squeezed.nii.gz,224,224,224,1741508,11239424,0.15494637447612974
63-7894 R_masked_squeezed_flipped.nii.gz,224,224,224,1677271,11239424,0.14923104600378098
64-10402 L 2023 02 08_masked_squeezed.nii.gz,224,224,224,1590810,11239424,0.14153839200300655
64-10402 R 2023 02 08_masked_squeezed_flipped.nii.gz,224,224,224,1789040,11239424,0.15917541681851313
64-10402 R 2023 11 21_masked_squeezed_flipped.nii.gz,224,224,224,1789822,11239424,0.15924499333773687
64-10902 L_masked_squeezed.nii.gz,224,224,224,1408529,11239424,0.12532039008404702
64-10902 R_masked_squeezed_flipped.nii.gz,224,224,224,1570329,11239424,0.13971614559607326
64-3795 L_masked_squeezed.nii.gz,224,224,224,1382799,11239424,0.12303112686201713
64-6935 L_masked_squeezed.nii.gz,224,224,224,1867248,11239424,0.16613378052113703
64-6935 R_masked_squeezed_flipped.nii.gz,224,224,224,1471031,11239424,0.13088135121515124
64-700092 L_masked_squeezed.nii.gz,224,224,224,1878412,11239424,0.16712706985696063
64-700178 L_masked_squeezed.nii.gz,224,224,224,2105024,11239424,0.18728931304664723
64-700383 L_masked_squeezed.nii.gz,224,224,224,2316394,11239424,0.20609543691918733
64-7881 L_masked_squeezed.nii.gz,224,224,224,1489796,11239424,0.13255092075892858
64-7881 R_masked_squeezed_flipped.nii.gz,224,224,224,1645068,11239424,0.14636586358873907
64-7936 L_masked_squeezed.nii.gz,224,224,224,1365565,11239424,0.12149777426316509
64-7936 R_masked_squeezed_flipped.nii.gz,224,224,224,1251223,11239424,0.11132447712622996
64-7980 L_masked_squeezed.nii.gz,224,224,224,1458630,11239424,0.12977800285850946
64-7980 R_masked_squeezed_flipped.nii.gz,224,224,224,1428990,11239424,0.1271408570403608
64-8619 L 2021_masked_squeezed.nii.gz,224,224,224,1838245,11239424,0.1635533102052205
64-8619 L 2022_masked_squeezed.nii.gz,224,224,224,1838665,11239424,0.16359067866823068
64-8619 R 2021_masked_squeezed_flipped.nii.gz,224,224,224,1927663,11239424,0.17150905598009292
